listid,genreid,gameid
129067,1,6394
129068,1,31225
129069,1,7417
129070,1,7670
129071,1,13761
129072,1,25809
129073,1,13753
129074,1,6396
129075,1,13760
129076,1,13754
129077,1,6398
129078,1,13762
129079,1,7418
129080,1,13755
129081,1,13758
129082,1,13759
129083,1,13756
129084,1,24011
129085,1,13757
129086,1,31224
129087,2,31224
129088,1,17493
129089,1,17494
129090,1,8873
129091,2,8873
129092,3,8873
129093,1,24012
129094,4,24012
129095,1,1225
129096,1,6397
129097,2,6397
129098,5,25004
129099,1,25401
129100,1,16808
129101,1,28011
129102,5,7355
129103,3,7355
129104,5,35030
129105,3,35030
129106,5,7761
129107,3,7761
129108,5,20551
129109,3,7167
129110,3,28872
129111,3,8372
129112,3,8371
129113,3,15778
129114,3,28873
129115,6,2101
129116,7,28816
129117,8,28816
129118,3,9711
129119,6,34653
129120,1,7234
129121,6,7234
129122,1,24805
129123,1,24808
129124,1,36619
129125,1,34751
129126,1,11326
129127,1,8814
129128,1,24799
129129,1,24802
129130,1,24804
129131,1,24803
129132,1,24807
129133,1,14433
129134,1,14434
129135,1,14326
129136,1,32915
129137,5,32915
129138,6,32915
129139,1,3837
129140,1,27431
129141,9,13547
129142,5,13547
129143,1,1335
129144,1,35166
129145,1,13649
129146,1,4767
129147,1,4768
129148,1,4764
129149,1,731
129150,1,33379
129151,5,33379
129152,3,33379
129153,1,1975
129154,3,36988
129155,3,36990
129156,1,36991
129157,10,36991
129158,3,36991
129159,10,36986
129160,3,36986
129161,10,36987
129162,3,36987
129163,1,36984
129164,10,36984
129165,3,328
129166,3,11610
129167,3,30104
129168,11,11600
129169,11,37064
129170,1,4783
129171,11,37065
129172,3,19441
129173,6,16857
129174,3,16857
129175,3,12633
129176,4,26668
129177,9,26668
129178,1,22880
129179,9,37655
129180,9,14159
129181,9,23160
129182,9,23161
129183,9,35257
129184,9,20844
129185,9,1406
129186,9,20846
129187,9,1405
129188,9,23164
129189,3,3213
129190,9,3213
129191,9,20845
129192,9,33237
129193,3,23730
129194,9,10301
129195,9,20842
129196,1,37654
129197,9,37654
129198,1,28443
129199,1,16317
129200,3,10499
129201,1,1240
129202,1,795
129203,1,3825
129204,1,3826
129205,1,24543
129206,3,27856
129207,3,27855
129208,6,27861
129209,3,27515
129210,3,5714
129211,3,5728
129212,5,12529
129213,10,12529
129214,9,23886
129215,3,23886
129216,5,23886
129217,11,24950
129218,11,24963
129219,1,26044
129220,5,26044
129221,6,27947
129222,10,5690
129223,3,5690
129224,6,27948
129225,1,26627
129226,6,26627
129227,1,12189
129228,3,12189
129229,1,12190
129230,3,12190
129231,12,6145
129232,1,6145
129233,3,6145
129234,3,35952
129235,3,35951
129236,3,33966
129237,1,6173
129238,3,26312
129239,3,26311
129240,3,19266
129241,3,14361
129242,3,6379
129243,3,6378
129244,3,6380
129245,3,6376
129246,9,37410
129247,5,37410
129248,1,21119
129249,5,21119
129250,3,21119
129251,1,29589
129252,4,15432
129253,1,29583
129254,1,29585
129255,4,31866
129256,1,29547
129257,1,33395
129258,4,33395
129259,11,33395
129260,10,33395
129261,3,33395
129262,1,1984
129263,1,27472
129264,5,27472
129265,3,12718
129266,3,35228
129267,11,11598
129268,1,18784
129269,3,18784
129270,11,9418
129271,4,9258
129272,6,9258
129273,1,32489
129274,4,32489
129275,6,32489
129276,1,3820
129277,2,3820
129278,13,3820
129279,1,16264
129280,3,16264
129281,5,21568
129282,10,21568
129283,3,21568
129284,1,18209
129285,4,18209
129286,1,8141
129287,1,6131
129288,1,6132
129289,1,6129
129290,1,6130
129291,1,14624
129292,1,14629
129293,1,3047
129294,1,16417
129295,1,14630
129296,1,8108
129297,1,8111
129298,1,33325
129299,1,33839
129300,4,33839
129301,1,24476
129302,1,26214
129303,6,15952
129304,11,34104
129305,4,26509
129306,4,26510
129307,6,18038
129308,9,2525
129309,5,2525
129310,14,36957
129311,12,36957
129312,1,36957
129313,4,36957
129314,6,36957
129315,14,34656
129316,12,34656
129317,6,34656
129318,3,34655
129319,3,27863
129320,3,25045
129321,3,25047
129322,3,36961
129323,3,36958
129324,3,36960
129325,3,36962
129326,3,36959
129327,3,19443
129328,11,7656
129329,1,21311
129330,1,4769
129331,1,33838
129332,4,33838
129333,1,16545
129334,1,6185
129335,1,33842
129336,4,33842
129337,1,3046
129338,3,3046
129339,1,16418
129340,4,16418
129341,5,15339
129342,4,4006
129343,4,4007
129344,9,31304
129345,4,30057
129346,9,12672
129347,1,10440
129348,2,10440
129349,13,10440
129350,6,10440
129351,3,10440
129352,11,24952
129353,11,13455
129354,10,13455
129355,15,13455
129356,3,5727
129357,1,3413
129358,6,12016
129359,3,12016
129360,6,12017
129361,3,12017
129362,3,27857
129363,5,2509
129364,1,29080
129365,1,25705
129366,1,24811
129367,1,24810
129368,1,8809
129369,1,14432
129370,1,19056
129371,1,6122
129372,1,25006
129373,3,35954
129374,1,6148
129375,3,6148
129376,3,30650
129377,3,30652
129378,3,35953
129379,1,12135
129380,1,26695
129381,5,12814
129382,1,8032
129383,1,732
129384,1,7653
129385,4,7653
129386,10,5945
129387,3,5945
129388,2,5277
129389,13,5277
129390,6,5277
129391,2,29508
129392,13,29508
129393,6,29508
129394,1,3581
129395,4,3581
129396,4,14038
129397,1,29481
129398,9,33135
129399,1,4765
129400,4,16869
129401,4,28952
129402,1,689
129403,9,689
129404,1,33564
129405,15,271
129406,1,24513
129407,4,24513
129408,1,4776
129409,1,24028
129410,4,7499
129411,4,535
129412,10,24547
129413,10,24548
129414,6,8375
129415,3,8375
129416,1,31766
129417,3,33965
129418,1,1244
129419,11,34101
129420,4,27554
129421,6,27554
129422,4,8956
129423,4,27567
129424,4,27565
129425,4,27568
129426,4,27560
129427,6,27560
129428,1,27432
129429,9,13548
129430,5,13548
129431,11,13548
129432,1,28991
129433,5,28991
129434,3,28991
129435,10,22861
129436,3,22861
129437,10,22862
129438,3,22862
129439,1,23175
129440,9,23175
129441,5,23175
129442,9,22137
129443,5,22137
129444,1,17374
129445,5,17374
129446,5,5247
129447,6,22777
129448,3,28605
129449,3,18559
129450,10,14797
129451,1,13203
129452,1,13211
129453,1,13210
129454,1,18826
129455,1,19116
129456,1,19117
129457,1,13201
129458,1,13202
129459,1,4498
129460,4,4498
129461,1,13204
129462,4,13204
129463,1,13207
129464,5,16335
129465,6,6877
129466,9,6877
129467,4,6877
129468,1,26657
129469,6,26657
129470,1,7342
129471,4,15927
129472,11,11605
129473,1,10595
129474,3,23219
129475,9,28228
129476,4,1649
129477,4,1650
129478,3,3068
129479,3,24008
129480,3,396
129481,9,24734
129482,3,24275
129483,11,153
129484,1,14990
129485,4,14990
129486,3,14990
129487,9,18717
129488,10,25825
129489,11,29305
129490,11,19680
129491,6,9163
129492,10,19934
129493,6,22778
129494,6,25910
129495,1,7078
129496,4,7078
129497,6,22772
129498,1,22494
129499,9,21809
129500,5,21809
129501,1,1428
129502,1,34975
129503,1,34988
129504,1,34987
129505,1,34990
129506,1,34980
129507,1,24214
129508,4,24214
129509,1,10995
129510,1,24212
129511,4,24212
129512,1,33799
129513,1,33813
129514,1,33803
129515,1,33805
129516,1,24216
129517,4,24216
129518,1,33783
129519,1,33790
129520,1,25207
129521,4,25207
129522,1,2177
129523,4,2177
129524,1,33800
129525,1,3289
129526,4,3289
129527,10,23298
129528,3,14377
129529,1,4385
129530,10,27921
129531,10,27920
129532,10,27922
129533,1,5982
129534,1,33782
129535,10,15237
129536,3,14379
129537,3,14378
129538,1,4383
129539,3,13992
129540,5,13992
129541,5,33245
129542,9,33245
129543,1,581
129544,5,581
129545,15,581
129546,1,582
129547,5,582
129548,15,582
129549,3,35918
129550,4,22169
129551,4,22167
129552,1,22170
129553,4,22170
129554,3,22170
129555,1,22173
129556,4,22173
129557,3,22173
129558,5,23676
129559,9,23676
129560,9,343
129561,9,18409
129562,9,18406
129563,9,18408
129564,9,17917
129565,9,18405
129566,9,8393
129567,9,26772
129568,9,347
129569,9,18417
129570,9,26771
129571,9,35475
129572,10,35475
129573,9,35476
129574,10,35476
129575,9,23725
129576,10,23725
129577,9,11508
129578,10,11508
129579,9,35473
129580,10,35473
129581,9,35444
129582,10,35444
129583,1,10692
129584,9,5313
129585,5,5313
129586,5,34289
129587,11,34289
129588,15,34289
129589,5,20238
129590,11,20238
129591,15,20238
129592,1,15596
129593,4,15596
129594,1,35246
129595,1,17540
129596,3,27849
129597,1,13420
129598,5,13420
129599,16,13420
129600,1,34317
129601,2,34317
129602,3,5443
129603,10,5443
129604,3,5442
129605,10,5442
129606,6,14586
129607,3,14586
129608,3,20366
129609,1,6761
129610,1,6765
129611,10,29286
129612,1,19909
129613,4,19909
129614,1,21321
129615,11,21321
129616,10,29287
129617,6,8993
129618,1,19040
129619,6,19040
129620,1,7538
129621,3,6107
129622,1,37559
129623,2,37559
129624,5,37559
129625,1,23532
129626,2,23532
129627,5,23532
129628,1,22052
129629,3,22052
129630,1,10044
129631,2,10044
129632,3,10044
129633,4,24128
129634,6,24128
129635,4,24129
129636,6,24129
129637,1,7677
129638,5,7677
129639,6,7677
129640,1,7678
129641,6,7678
129642,5,7678
129643,1,31605
129644,4,31605
129645,6,31605
129646,1,35003
129647,9,35003
129648,5,35003
129649,3,35003
129650,9,29094
129651,5,29094
129652,9,6538
129653,3,6538
129654,9,6537
129655,3,6537
129656,3,14219
129657,4,19079
129658,5,7797
129659,3,7797
129660,5,19143
129661,3,19143
129662,1,1543
129663,5,1543
129664,1,37438
129665,5,37438
129666,11,37438
129667,15,37438
129668,4,27910
129669,9,24682
129670,6,24682
129671,1,26139
129672,4,26139
129673,1,3420
129674,4,3420
129675,9,3420
129676,1,31144
129677,5,31144
129678,1,28833
129679,5,28833
129680,9,28833
129681,4,10393
129682,5,10393
129683,1,4380
129684,1,33797
129685,1,10996
129686,1,24215
129687,4,24215
129688,5,12332
129689,9,12332
129690,15,12332
129691,1,26626
129692,6,26626
129693,1,25380
129694,3,6149
129695,1,25382
129696,3,25382
129697,3,35955
129698,1,29670
129699,5,29670
129700,3,29670
129701,1,20492
129702,5,20492
129703,3,20492
129704,1,27506
129705,5,27506
129706,1,33231
129707,6,33231
129708,6,33227
129709,1,17615
129710,4,17615
129711,1,36065
129712,1,36068
129713,1,10691
129714,1,10693
129715,1,17618
129716,4,17618
129717,5,13257
129718,9,13257
129719,3,24404
129720,1,24404
129721,5,24404
129722,11,24761
129723,9,11649
129724,3,11649
129725,1,30000
129726,1,3401
129727,4,3401
129728,1,3402
129729,1,25640
129730,4,25640
129731,11,9328
129732,3,33769
129733,1,4782
129734,5,36730
129735,5,20441
129736,6,20441
129737,14,23186
129738,17,23186
129739,1,23186
129740,4,23186
129741,5,23186
129742,3,14117
129743,17,23185
129744,1,23185
129745,4,23185
129746,5,23185
129747,1,37418
129748,5,37418
129749,1,26123
129750,5,26123
129751,11,26123
129752,3,26123
129753,6,10854
129754,1,26217
129755,6,31912
129756,6,31914
129757,1,4330
129758,2,4330
129759,6,10857
129760,1,10866
129761,6,10866
129762,1,14971
129763,4,14971
129764,3,29102
129765,3,36840
129766,1,1196
129767,1,1193
