listid,categoryid,gameid
23134,1,6394
23135,2,6394
23136,3,6394
23137,4,6394
23138,1,31225
23139,2,31225
23140,3,31225
23141,4,31225
23142,1,7417
23143,4,7417
23144,1,7670
23145,2,7670
23146,3,7670
23147,4,7670
23148,5,13761
23149,1,13761
23150,4,13761
23151,1,25809
23152,2,25809
23153,4,25809
23154,5,13753
23155,1,13753
23156,2,13753
23157,6,13753
23158,4,13753
23159,5,6396
23160,1,6396
23161,4,6396
23162,5,13760
23163,5,13754
23164,7,13754
23165,8,13754
23166,9,13754
23167,10,13754
23168,6,13754
23169,11,13754
23170,1,6398
23171,12,6398
23172,7,6398
23173,6,6398
23174,4,6398
23175,13,6398
23176,11,6398
23177,5,13762
23178,1,7418
23179,12,7418
23180,7,7418
23181,8,7418
23182,4,7418
23183,13,7418
23184,11,7418
23185,1,13755
23186,4,13755
23187,11,13755
23188,5,13758
23189,14,13758
23190,1,13759
23191,4,13759
23192,5,13756
23193,7,13756
23194,9,13756
23195,10,13756
23196,6,13756
23197,13,13756
23198,11,13756
23199,14,13756
23200,5,24011
23201,7,24011
23202,9,24011
23203,10,24011
23204,15,24011
23205,11,24011
23206,14,24011
23207,5,13757
23208,7,13757
23209,9,13757
23210,10,13757
23211,6,13757
23212,13,13757
23213,11,13757
23214,14,13757
23215,1,31224
23216,12,31224
23217,7,31224
23218,8,31224
23219,9,31224
23220,16,31224
23221,17,31224
23222,10,31224
23223,4,31224
23224,13,31224
23225,15,31224
23226,14,31224
23227,5,17493
23228,1,17493
23229,18,17493
23230,7,17493
23231,19,17493
23232,9,17493
23233,6,17493
23234,4,17493
23235,13,17493
23236,20,17493
23237,11,17493
23238,14,17493
23239,5,17494
23240,1,17494
23241,18,17494
23242,7,17494
23243,19,17494
23244,8,17494
23245,9,17494
23246,16,17494
23247,6,17494
23248,4,17494
23249,13,17494
23250,11,17494
23251,14,17494
23252,1,8873
23253,18,8873
23254,8,8873
23255,16,8873
23256,21,8873
23257,17,8873
23258,4,8873
23259,5,24012
23260,18,24012
23261,7,24012
23262,19,24012
23263,8,24012
23264,9,24012
23265,16,24012
23266,6,24012
23267,13,24012
23268,15,24012
23269,14,24012
23270,5,1225
23271,1,1225
23272,18,1225
23273,7,1225
23274,9,1225
23275,6,1225
23276,13,1225
23277,15,1225
23278,1,6397
23279,7,6397
23280,19,6397
23281,8,6397
23282,16,6397
23283,17,6397
23284,4,6397
23285,13,6397
23286,5,25004
23287,1,25004
23288,1,25401
23289,7,25401
23290,4,25401
23291,5,16808
23292,1,16808
23293,18,16808
23294,12,16808
23295,7,16808
23296,8,16808
23297,16,16808
23298,4,16808
23299,13,16808
23300,15,16808
23301,5,28011
23302,13,28011
23303,5,7355
23304,5,35030
23305,5,7761
23306,1,7761
23307,5,20551
23308,1,20551
23309,7,20551
