dateid,day,month,year,dayofweek,dayofyear
1,19,6,2014,4,170
2,27,12,2016,2,362
3,1,5,2015,5,121
4,20,6,2017,2,171
5,14,3,2006,2,73
6,14,8,2014,4,226
7,31,12,2018,1,365
8,8,11,2007,4,312
9,24,11,2015,2,328
10,7,4,2014,1,97
11,19,9,2016,1,263
12,9,5,2014,5,129
13,13,9,2011,2,256
14,4,7,2012,3,186
15,20,4,2019,6,110
16,13,11,2015,5,317
17,16,6,2016,4,168
18,13,2,2015,5,44
19,23,7,2018,1,204
20,11,7,2014,5,192
21,13,1,2017,5,13
22,2,3,2019,6,61
23,12,5,2016,4,133
24,22,5,2008,4,143
25,3,8,2018,5,215
26,8,1,2015,4,8
27,17,12,2012,1,352
28,2,2,2018,5,33
29,15,4,2016,5,106
30,18,2,2013,1,49
31,6,5,2010,4,126
32,8,6,2018,5,159
33,2,9,2016,5,246
34,3,12,2013,2,337
35,16,5,2013,4,136
36,20,8,2013,2,232
37,5,2,2014,3,36
38,15,8,2014,5,227
39,27,1,2010,3,27
40,27,11,2018,2,331
41,30,6,2010,3,181
42,26,7,2016,2,208
43,27,5,2017,6,147
44,5,11,2014,3,309
45,9,1,2009,5,9
46,16,10,2007,2,289
47,12,2,2015,4,43
48,19,1,2011,3,19
49,27,8,2015,4,239
50,,,2002,,
51,11,2,2016,4,42
52,24,6,2013,1,175
53,3,2,2019,0,34
54,19,7,2017,3,200
55,25,3,2018,0,84
56,28,3,2012,3,88
57,14,7,2017,5,195
58,27,5,2016,5,148
59,15,7,2009,3,196
60,17,2,2010,3,48
61,7,11,2014,5,311
62,13,6,2012,3,165
63,8,2,2018,4,39
64,28,8,2015,5,240
65,10,12,2017,0,344
66,24,5,2018,4,144
67,7,1,2013,1,7
68,20,8,2015,4,232
69,19,8,2013,1,231
70,1,4,2018,0,91
71,12,8,2016,5,225
72,23,5,2011,1,143
73,3,1,2014,5,3
74,13,8,2015,4,225
75,22,2,2019,5,53
76,10,8,2018,5,222
77,14,3,2012,3,74
78,20,11,2013,3,324
79,26,7,2006,3,207
80,28,4,2016,4,119
81,4,7,2014,5,185
82,29,8,2014,5,241
83,14,8,2018,2,226
84,30,10,2012,2,304
85,30,11,2018,5,334
86,3,9,2009,4,246
87,25,12,2015,5,359
88,31,7,2008,4,213
89,22,4,2016,5,113
90,19,6,2016,0,171
91,8,6,2017,4,159
92,5,9,2017,2,248
93,25,3,2016,5,85
94,16,11,2018,5,320
95,26,10,2017,4,299
96,24,6,2009,3,175
97,10,6,2015,3,161
98,22,7,2016,5,204
99,5,8,2009,3,217
100,5,9,2016,1,249
101,30,1,2014,4,30
102,19,12,2018,3,353
103,28,10,2010,4,301
104,27,1,2017,5,27
105,14,5,2016,6,135
106,5,7,2018,4,186
107,5,2,2019,2,36
108,30,3,2018,5,89
109,11,10,2013,5,284
110,1,11,2009,0,305
111,29,6,2015,1,180
112,1,11,2013,5,305
113,11,2,2010,4,42
114,5,11,2018,1,309
115,12,1,2018,5,12
116,27,10,2014,1,300
117,26,1,2015,1,26
118,6,12,2015,0,340
119,27,7,2015,1,208
120,25,6,2013,2,176
121,11,7,2016,1,193
122,13,7,2010,2,194
123,6,11,2016,0,311
124,14,10,2018,0,287
125,25,6,2018,1,176
126,17,6,2016,5,169
127,30,7,2015,4,211
128,10,5,2006,3,130
129,31,8,2017,4,243
130,12,7,2007,4,193
131,11,11,2017,6,315
132,20,7,2017,4,201
133,16,4,2018,1,106
134,14,5,2009,4,134
135,6,3,2019,3,65
136,19,6,2012,2,171
137,,,2012,,
138,19,3,2019,2,78
139,21,12,2016,3,356
140,6,8,2010,5,218
141,17,10,2018,3,290
142,10,7,2016,0,192
143,29,5,2014,4,149
144,15,5,2015,5,135
145,6,2,2014,4,37
146,12,2,2013,2,43
147,11,1,2018,4,11
148,10,1,2013,4,10
149,2,3,2009,1,61
150,,,2006,,
151,27,10,2015,2,300
152,16,2,2016,2,47
153,4,4,2018,3,94
154,23,1,2009,5,23
155,6,11,2017,1,310
156,26,10,2011,3,299
157,7,6,2018,4,158
158,6,8,2015,4,218
159,12,11,2007,1,316
160,13,10,2006,5,286
161,31,7,2014,4,212
162,11,9,2014,4,254
163,4,6,2014,3,155
164,1,5,2003,4,121
165,28,7,2016,4,210
166,13,11,2009,5,317
167,22,2,2013,5,53
168,15,9,2014,1,258
169,29,11,2013,5,333
170,31,10,2013,4,304
171,24,5,2017,3,144
172,21,9,2017,4,264
173,31,3,2014,1,90
174,22,8,2018,3,234
175,1,9,2016,4,245
176,22,12,2015,2,356
177,7,6,2012,4,159
178,17,8,2010,2,229
179,26,4,2012,4,117
180,2,8,2017,3,214
181,11,1,2016,1,11
182,2,12,2010,4,336
183,11,1,2017,3,11
184,29,3,2018,4,88
185,11,2,2015,3,42
