developerid,name,city,administrativedivision,country,founding_year
17460,Artdink,Tsukishima,,Japan,1986
17461,"Lifeliqe, Inc.",,,,
17462,Lazy Games Studio Ltd,,,,
17463,Mirai Shounen,,,,
17464,Atari,Pawtucket,Rhode Island,United States,1995
17465,Yars,,,,
17466,FireSine LLC,,,,
17467,"Fatbot Games, s. r. o.",,,,
17468,Red Dolphin Games,,,,
17469,贪婪龙,,,,
17470,AstroBear Games,,,,
17471,sheissun,,,,
17472,Lump of Sugar,,,,
17473,INSIDE SYSTEM,,,,
17474,"Tenwall Creatives, Inc.",,,,
17475,Nexon,,,,
17476,PraGames,,,,
17477,Dustin Gunn,,,,
17478,Gugila,,,,
17479,Cat Logic Games,,,,
17480,Turbo Chimp,,,,
17481,Sheado.net,,,,
17482,DQ Team,,,,
17483,Sector3 Studios,,,,
17484,ecoddr,,,,
17485,Grimorio of Games,,,,
17486,Dylan Loney,,,,
17487,BlackMoon Design,,,,
17488,Chengen Zhao,,,,
17489,Brian Hockenmaier,,,,
17490,Astalo Games,,,,
17491,George Mandell,,,,
17492,RandomSpin,,,,
17493,TORaIKI,,,,
17494,REEW GAMES,,,,
17495,Religious Studios,,,,
17496,NEXION,,,,
17497,Big Boat Interactive,,,,
17498,樱,,,,
17499,Adventure Mob,,,,
17500,The Balance Inc,,,,
17501,Digital Media Workshop,,,,
17502,Runewaker,,,,
17503,Luo Zhi En,,,,
17504,MEGAFUZZ,,,,
17505,Aventurine SA,Athens,,Greece,2002
17506,Oriplay,,,,
17507,Blue Entropy Studios,,,,
17508,ThiefCat,,,,
17509,TR8 Torus Studios,,,,
17510,Marmalade Game Studio Ltd,,,,
17511,Oddworld Inhabitants,San Luis Obispo,California,United States,1994
17512,Rhema Group,,,,
17513,Fire Face Corporation,,,,
17514,Bekho Team,,,,
17515,Sundae Factory,,,,
17516,RalphVR,,,,
17517,Crawfish Interactive,Croydon,England,United Kingdom,1997
17518,Whiterra,,,,
17519,bluebox interactive,,,,
17520,Spellbound AG,,,,
17521,Virhex,,,,
17522,SkyKan,,,,
17523,Colin Jones & The Potassium Frog,,,,
17524,Scott Howie,,,,
17525,energy milk,,,,
17526,NextGen Games,,,,
17527,epic dreams,,,,
17528,Yomu,,,,
17529,Jack Gloyens,,,,
17530,IceTorch Interactive,,,,
17531,Michaela Laws,,,,
17532,Kittik Game Studio,,,,
17533,Droid Riot,,,,
17534,Sang Hendrix,,,,
17535,"Limitless Fun, LLC",,,,
17536,Spreadable Fruit,,,,
17537,Jonathan Stoffer,,,,
17538,Sloth Studio,,,,
17539,Nkt Studio,,,,
17540,Fun Punch Games,,,,
17541,Slayers' Stronghold Studios,,,,
17542,Binary Cocoa,,,,
17543,PlatformaVR,,,,
17544,Suspicious Developments,,,,
17545,Ironhide Game Studio,,,,
17546,Tangled Mess Games,,,,
17547,Tempera Games,,,,
17548,Prime VR Inc.,,,,
17549,Creative Storm Entertainment,,,,
17550,JustWall Games,,,,
17551,Extreme Entertainment Group,,,,
17552,Zachary 'ZOLTARR' Pitts,,,,
17553,Donovan Bell,,,,
17554,Team DOTS,,,,
17555,"mode of expression, LLC",,,,
17556,Chaosoft Games,,,,
17557,KITATUS STUDIOS,,,,
17558,e-FunSoft Games,,,,
17559,Onteca Ltd,,,,
17560,Dénis Múrias,,,,
17561,On The Level Game Studios,,,,
17562,Massive Monster,,,,
17563,Ignition Games Inc.,,,,
17564,Antropi,,,,
17565,SPS,,,,
17566,Amplecti Chao,,,,
17567,On5,,,,
17568,Essency Studios,,,,
17569,Konfa Games,,,,
17570,Sixense Studios,,,,
17571,DG Games Workshop,,,,
17572,折翼的红领巾,,,,
17573,LiMAVR,,,,
17574,Radiant Entertainment,,,,
17575,trasnatech,,,,
17576,Ok De,,,,
17577,2Awesome Studio,,,,
17578,Bit Byterz,,,,
17579,Nicholas Likiardopoulos,,,,
17580,Imperia Online JSC,,,,
17581,MuscleBird,,,,
17582,Electric Games,,,,
17583,Piotr Bunkowski,,,,
17584,Nightmaker,,,,
17585,ODIAK Games,,,,
17586,Curveball Games,,,,
17587,8monkey Labs,,,,
17588,Smash The Code,,,,
17589,GSP,,,,
17590,Minus2,,,,
17591,Copybugpaste,,,,
17592,MadGearGames,,,,
17593,Brawsome,,,,
17594,Desperado Games,,,,
