gameid,name,requiredage,price
1,- Arcane Raise -,0,1.99
2,-KLAUS-,0,11.39
3, Beyblade Burst,,
4, Fieldrunners 2,0,6.99
5, Fire Emblem Fates,,
6, Frozen: Olaf's Quest,,
7, Haikyu!! Cross Team Match!,,
8, Tales of Xillia 2,,
9,! That Bastard Is Trying To Steal Our Gold !,0,2.89
10,!AnyWay!,0,1.69
11,!LABrpgUP!,0,0.79
12,"""BUTTS: The VR Experience""",0,0.79
13,"""Glow Ball"" - The billiard puzzle game",0,2.89
14,"""TWO DRAW""",0,0.79
15,#Archery,0,6.99
16,#CuteSnake,0,0.79
17,#CuteSnake 2,0,0.79
18,#Have A Sticker,0,0
19,#KILLALLZOMBIES,0,3.99
20,#monstercakes,0,0.79
21,#SelfieTennis,0,7.19
22,#WarGames,0,2.09
23,$1 Ride,0,0.79
24,(VR)西汉帝陵 The Han Dynasty Imperial Mausoleums,0,1.59
25,***,0,0.79
26,.hack//G.U. Last Recode,0,39.99
27,.hack//G.U. Vol.1//Rebirth,,
28,.hack//G.U. Vol.2//Reminisce,,
29,.hack//G.U. Vol.2//Reminisce (jp sales),,
30,.hack//G.U. Vol.3//Redemption,,
31,.hack//Infection Part 1,,
32,.hack//Link,,
33,.hack//Mutation Part 2,,
34,.hack//Outbreak Part 3,,
35,.hack//Quarantine Part 4: The Final Chapter,,
36,.hack: Sekai no Mukou ni + Versus,,
37,.projekt,0,3.99
38,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,0,4.79
39,//N.P.P.D. RUSH//- The milk of Ultraviolet,12,2.99
40,//SNOWFLAKE TATTOO//,0,3.99
41,::CallBack,0,4.99
42,[ R.U.M.A ],0,0.79
43,[it's possible],0,1.7
44,[MARS] Total Warfare,0,0
45,[Prototype 2],,
46,[Prototype],,
47,[the Sequence],0,1.59
48,[東方二次] Senran Meisuishu Tactics / 戦乱命萃酒タクティクス,0,15.49
49,~necromancy~Emily's Escape,0,11.39
50,¡Shin Chan Flipa en colores!,,
51,《古斯塔奥：帝国重生》Gustavo Kingdom Rebirth,0,3.99
52,【SCP】器関ノ彷徨 -The will of a single Tale- 第１部,0,0
53,【SCP】器関ノ彷徨 -The will of a single Tale-【DEMOver.】,0,0
54,€100,0,0.79
55,＜/reality＞,0,8.99
56,>//:System.Hack,0,8.29
57,>Mars Taken,0,3.99
58,>observer_,16,22.99
59,∀kashicforce,0,10.29
60,√Letter - Root Letter -,0,14.99
61,★ Fallalypse ★,0,4.99
62,★ Fallalypse ★ Death or Cress ♝,0,7.19
63,♞ The Tactics of War ♞,0,5.79
64,✌ Johnny Rocket,0,7.19
65,❂ Heroes of Hexaluga ❂,0,7.19
66,❂ Hexaluga ❂ Dungeons and Hunting ☠,0,5.19
67,❂ Hexaluga ❂ Weapon and Shield ☯,0,3.99
68,❂ Hexaluga ❂ Witch Hunter's Travelling Castle ♉,0,7.19
69,0 Day,0,4.99
70,0°N 0°W,0,6.19
71,001 Game Creator,0,46.49
72,007 Racing,,
73,007: Quantum of Solace,,
74,007: The World is not Enough,,
75,007: Tomorrow Never Dies,,
76,0RBITALIS,0,6.99
77,1-2-Swift,0,1.99
78,1-Bit Revival: The Residuals of Null,0,2.89
79,1 HIT KILL,0,2.89
80,1 Moment Of Time: Silentville,0,0.79
81,1 Screen Platformer,0,0.79
82,1 vs 1 : Global Operations,0,3.19
83,1 vs. 100,,
84,"1,000 Heads Among the Trees",0,4.99
85,1/2 Summer +,,
86,10-4 Indirect Contact,0,2.89
87,10 Minute Solution,,
88,10 Minute Tower,0,9.99
89,10 Second Ninja,0,1.59
90,10 Second Ninja X,0,7.99
91,10 seconds,0,3.99
92,10 Years After,0,4.79
93,"10,000,000",0,3.99
94,100 All-Time Favorites,,
95,100 Chests,0,2.09
96,100 Classic Books,,
97,100 Classic Games,,
98,100 Seconds,0,3.99
99,100$,0,0.79
100,100% Orange Juice,0,4.99
101,1000 Amps,0,3.99
102,1000 Cooking Recipes from ELLE à table,,
103,1000 Stages,0,1.69
104,1001 Jigsaw. Home Sweet Home,0,3.99
105,1001 Jigsaw. World Tour: Great America,0,3.99
106,1001 Spikes,0,9.99
107,1001 Touch Games,,
108,1001st Hyper Tower,0,9.29
109,100ft Robot Golf,0,7.19
110,100nya,0,2.3
111,101-in-1 Explosive Megamix,,
112,101-in-1 Party Megamix Wii,,
113,101-in-1 Sports Megamix,,
114,101-in-1 Sports Party Megamix,,
115,101 Ways to Die,16,7.99
116,1010,0,0.79
117,103,0,7.19
118,1080°: TenEighty Snowboarding,,
119,10k,0,11.39
120,11-11 Memories Retold,0,19.99
121,1166,18,1.59
122,11eyes: CrossOver,,
123,12-Sai. Honto no Kimochi,,
124,12-Sai. Koisuru Diary,,
125,12 HOURS,0,2.09
126,12 is Better Than 6,0,6.99
127,12 Labours of Hercules,0,1.99
128,12 Labours of Hercules II: The Cretan Bull,0,1.99
129,12 Labours of Hercules III: Girl Power,0,1.99
130,12 Labours of Hercules IV: Mother Nature (Platinum Edition),0,1.99
131,12 Labours of Hercules V: Kids of Hellas (Platinum Edition),0,1.99
132,12 Labours of Hercules VI: Race for Olympus (Platinum Edition),0,1.99
133,12 Labours of Hercules VII: Fleecing the Fleece (Platinum Edition),0,1.99
134,12 Labours of Hercules VIII: How I Met Megara,0,2.09
135,12 orbits,0,1.69
136,123 Slaughter Me Street,0,3.99
137,123 Slaughter Me Street 2,0,5.19
138,1248,0,2.09
139,12Riven: The Psi-Climinal of Integral,,
140,13 Cycles,0,5.19
141,140,0,3.99
142,1406,0,4.79
143,15 Days,0,8.99
144,15 Defense,0,1.99
145,15 seconds,0,0.79
146,"150,000 B.C.",0,0.79
147,16bit Trader,0,1.99
148,1701 A.D.,,
149,1775: Rebellion,0,18.99
150,18 Floors,0,11.39
151,18 Wheeler: American Pro Trucker,,
152,18 Wheels of Steel: Across America,0,6.99
153,18 Wheels of Steel: American Long Haul,0,6.99
154,18 Wheels of Steel: Convoy,0,6.99
155,18 Wheels of Steel: Extreme Trucker,,
156,18 Wheels of Steel: Extreme Trucker 2,0,6.99
157,18 Wheels of Steel: Haulin’,0,6.99
158,18+,0,0.79
159,1812: The Invasion of Canada,0,18.99
160,1849,0,10.99
161,187: Ride or Die,,
162,1914: Prelude to Chaos,0,0.79
163,1917 - The Alien Invasion DX,0,3.99
164,1931: Scheherazade at the Library of Pergamum,0,11.39
165,1942,,
166,1942: The Pacific Air War,0,4.99
167,1943 Berlin Blitz,0,0
168,1943 Deadly Desert,0,7.19
169,1943 Megami Strike,0,5.99
170,1953: NATO vs Warsaw Pact,0,14.99
171,1954 Alcatraz,0,6.99
172,1979 Invasion Earth,0,1.59
173,1979 Revolution: Black Friday,0,4.79
174,1993 Space Machine,0,9.29
175,199X,0,1.59
176,1bitHeart,0,1.99
177,1HEART,0,6.99
178,1Quest,0,2.89
179,1st Core: The Zombie Killing Cyborg,0,3.99
180,1vs1: Battle Royale for the throne,0,2.09
181,2-in-1 Game Pack: Spider-Man & Spider-Man 2,,
182,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,,
183,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,,
184,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,,
185,2 Games in 1: Disney Princess & The Lion King,,
186,2 Games in 1: Sonic Advance & ChuChu Rocket!,,
187,2 Games in 1: Sonic Battle & ChuChu Rocket!,,
188,2 Games in 1: Sonic Pinball Party & Columns Crown,,
