developerid,name,city,administrativedivision,country,founding_year
1,0verflow,Tokyo,,Japan,1997
2,11 bit studios,Warsaw,Masovian Voivodeship,Poland,2010
3,1C Company,Moscow,,Russia,1991
4,1-Up Studio,Tokyo,,Japan,2000
5,2K Czech,Brno,,Czech Republic,1997
6,2K Games,Novato,California,United States,2005
7,2K Sports,Novato,California,United States,2005
8,343 Industries,Redmond,Washington,United States,2009
9,38 Studios,Providence,Rhode Island,United States,2006
10,3D Realms,Garland,Texas,United States,1987
11,42 Entertainment,Pasadena,California,United States,1993
12,4A Games,KyivSliema,,Ukraine,2005
13,5th Cell,Bellevue,Washington,United States,2003
14,989 Studios,Foster City,California,United States,1995
15,Acclaim Entertainment,Glen Cove,New York,United States,1987
16,Acclaim Studios Austin,Santa Clara,California,United States,1991
17,Accolade,San Jose,California,United States,1984
18,Access Games,Osaka,,Japan,2002
19,Access Software,Salt Lake City,Utah,United States,1982
20,ACE Team,Santiago de Chile,,Chile,2007
21,Aces Studio,Redmond,Washington,United States,
22,Acquire,"Chiyoda, Tokyo",,Japan,1994
23,Action Forms,Kyiv,,Ukraine,1995
24,Active Gaming Media,Osaka,,Japan,2006
25,Activision,Santa Monica,California,United States,1979
26,Adventure Soft,Birmingham,England,United Kingdom,1992
27,Akella,Moscow,,Russia,1995
28,Alfa System,Kumamoto City,,Japan,1988
29,AlphaDream,Tokyo,,Japan,2000
30,Amazon Game Studios,Seattle,Washington,United States,2012
31,"Amazon Game Studios, Orange County (formerly Double Helix Games)",Irvine,California,United States,2007
32,Ambrella,Tokyo,,Japan,1996
33,Amusement Vision,Tokyo,,Japan,2000
34,Ancient,Hino,,Japan,1990
35,Anino,Manila,,Philippines,2001
36,Ankama Games,Roubaix,,France,2001
37,Appy Entertainment,Carlsbad,California,United States,2008
38,AQ Interactive,Tokyo,,Japan,2005
39,Aquria,Kanagawa,,Japan,2002
40,Arc System Works,Yokohama,,Japan,1988
41,Arcane Kids,Los Angeles,California,United States,2010
42,Arcen Games,Durham,North Carolina,United States,2009
43,Arkane Studios,Lyon,,France,1999
44,Arkedo Studio,Paris,,France,2006
