salesid,gamename,platform,year_of_release,genre,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,salesyear
0,Wii Sports,Wii,2006,Sports,Nintendo,32.02,21.94,1.71,7.82,63.49000000000001,2019
1,Super Mario Bros.,NES,1985,Platform,Nintendo,12.09,1.14,5.02,0.01,18.26,1987
2,Super Mario Bros.,NES,1985,Platform,Nintendo,15.16,0.88,0.18,0.01,16.23,2004
3,Super Mario Bros.,NES,1985,Platform,Nintendo,1,0.44,0.79,0.01,2.2399999999999998,2012
4,Mario Kart Wii,Wii,2008,Racing,Nintendo,13.45,8.97,2.55,0.16,25.130000000000003,2009
5,Mario Kart Wii,Wii,2008,Racing,Nintendo,0.99,0.04,0.88,1.36,3.2700000000000005,2020
6,Wii Sports Resort,Wii,2009,Sports,Nintendo,6.76,6.76,2.98,0.73,17.23,2011
7,Wii Sports Resort,Wii,2009,Sports,Nintendo,8.01,0.94,0.01,0.36,9.319999999999999,2014
8,Wii Sports Resort,Wii,2009,Sports,Nintendo,0.01,0.24,0.01,0.45,0.71,2017
9,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,6.12,0.99,1.01,0.43,8.55,1998
10,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,4.4,5.73,0.24,0.01,10.38,2002
11,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,0.01,0.25,0.61,0.01,0.88,2008
12,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,0.01,0.29,7.62,0.01,7.93,2018
13,Tetris,GB,1989,Puzzle,Nintendo,6.89,1.16,0.11,0.01,8.169999999999998,1991
14,Tetris,GB,1989,Puzzle,Nintendo,0.92,0.44,2.87,0.01,4.24,2001
15,Tetris,GB,1989,Puzzle,Nintendo,8.29,0.01,0.38,0.01,8.69,2009
16,Tetris,GB,1989,Puzzle,Nintendo,5.22,0.01,0.01,0.01,5.249999999999999,2018
17,New Super Mario Bros.,DS,2006,Platform,Nintendo,9.88,3.26,4.14,0.02,17.3,2009
18,New Super Mario Bros.,DS,2006,Platform,Nintendo,0.86,3.87,0.14,1.35,6.220000000000001,2015
19,New Super Mario Bros.,DS,2006,Platform,Nintendo,0.01,1.55,0.36,0.06,1.98,2016
20,Wii Play,Wii,2006,Misc,Nintendo,12.78,2.84,1.01,0.47,17.099999999999998,2007
21,Wii Play,Wii,2006,Misc,Nintendo,0.44,3.54,0.95,1.1,6.029999999999999,2021
22,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,13.02,3.59,0.29,0.53,17.43,2010
23,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,0.17,0.67,3.92,0.62,5.38,2015
24,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,0.77,0.87,0.01,0.27,1.9200000000000002,2019
25,Duck Hunt,NES,1984,Shooter,Nintendo,25.3,0.01,0.01,0.01,25.330000000000005,1990
26,Duck Hunt,NES,1984,Shooter,Nintendo,0.51,0.01,0.01,0.01,0.54,2001
27,Duck Hunt,NES,1984,Shooter,Nintendo,0.1,0.01,0.01,0.01,0.13,2009
28,Duck Hunt,NES,1984,Shooter,Nintendo,0.02,0.01,0.01,0.01,0.05,2011
29,Nintendogs,DS,2005,Simulation,Nintendo,8.02,3.51,0.7,0.49,12.719999999999999,2008
30,Nintendogs,DS,2005,Simulation,Nintendo,0.95,1.87,0.45,1.96,5.23,2009
31,Nintendogs,DS,2005,Simulation,Nintendo,0.01,0.75,0.01,0.01,0.78,2013
32,Nintendogs,DS,2005,Simulation,Nintendo,0.01,2.6,0.01,0.01,2.6299999999999994,2019
33,Mario Kart DS,DS,2005,Racing,Nintendo,2.48,6.71,3.95,0.89,14.030000000000001,2013
34,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,5.89,4.28,6.64,0.01,16.82,2003
35,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,1.83,0.83,0.01,0.01,2.6799999999999997,2008
36,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,0.97,0.29,0.01,0.01,1.28,2012
37,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,0.01,0.01,0.01,0.01,0.04,2015
38,Wii Fit,Wii,2007,Sports,Nintendo,2.97,0.23,0.51,0.09,3.8,2007
39,Wii Fit,Wii,2007,Sports,Nintendo,1.53,1.73,1.15,1.46,5.87,2017
40,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,7.59,3.68,0.01,0.55,11.83,2010
41,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,5.66,0.01,0.01,0.04,5.72,2015
42,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,0.58,0.54,0.01,0.75,1.8800000000000001,2016
43,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,0.62,0.01,0.01,0.01,0.65,2019
44,Wii Fit Plus,Wii,2009,Sports,Nintendo,5.57,4.76,1.97,0.09,12.39,2010
45,Wii Fit Plus,Wii,2009,Sports,Nintendo,1.51,0.81,0.01,0.06,2.39,2013
46,Wii Fit Plus,Wii,2009,Sports,Nintendo,0.17,0.83,0.01,0.06,1.07,2020
47,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,4.7,7.44,0.01,2.37,14.52,2014
48,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,1.92,0.08,0.01,0.54,2.55,2017
49,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,0.01,0.73,0.01,1.01,1.76,2020
50,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,6.2,0.01,0.01,5.01,11.23,2004
51,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,1.47,0.01,0.01,0.88,2.37,2010
52,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,0.62,0.01,0.01,2.32,2.96,2013
53,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,0.76,0.01,0.01,0.31,1.09,2018
54,Super Mario World,SNES,1990,Platform,Nintendo,6.75,1.9,0.09,0.01,8.75,1992
55,Super Mario World,SNES,1990,Platform,Nintendo,5.84,0.17,1.87,0.01,7.89,2004
56,Super Mario World,SNES,1990,Platform,Nintendo,0.01,0.93,0.86,0.01,1.81,2010
57,Super Mario World,SNES,1990,Platform,Nintendo,0.01,0.01,0.01,0.01,0.04,2020
58,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,2.77,6.29,1.84,1.2,12.1,2005
59,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,0.9,0.04,1.99,0.01,2.94,2011
60,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,0.09,1.49,0.01,0.01,1.6,2015
120,Super Mario 64,N64,1996,Platform,Nintendo,5.51,0.34,0.11,0.01,5.97,2000
61,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,0.01,0.56,0.01,0.01,0.5900000000000001,2018
62,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,1.92,3.05,0.79,0.27,6.029999999999999,2007
63,Super Mario Land,GB,1989,Platform,Nintendo,2.76,0.29,3.05,0.01,6.109999999999999,1991
64,Super Mario Land,GB,1989,Platform,Nintendo,5.8,1.91,0.66,0.01,8.379999999999999,2000
65,Super Mario Land,GB,1989,Platform,Nintendo,1.86,0.01,0.01,0.01,1.8900000000000001,2017
66,Super Mario Bros. 3,NES,1988,Platform,Nintendo,5.03,1.28,0.42,0.01,6.74,1999
67,Super Mario Bros. 3,NES,1988,Platform,Nintendo,0.39,1.61,0.89,0.01,2.9,2018
68,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,0.88,1.49,0.01,0.81,3.19,2019
69,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,3.69,2.78,0.01,0.74,7.22,2009
70,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,2.87,1.12,0.01,0.77,4.77,2020
